Machine Name,id,parent_id,field_weight,nid,field_member_of,field_model,file,field_add_coverpage,title,field_full_title,published,field_linked_agent.name,field_linked_agent.rel_type,field_linked_agent.vid,field_linked_agent.entity.field_identifier.attr0=orcid,field_linked_agent.entity.field_contributor_status,field_linked_agent.entity.field_email,field_linked_agent.entity.field_relationships,field_department_name,field_resource_type,field_genre,field_edtf_date_issued,field_date_season,field_edtf_date_captured,field_edtf_date_embargo,field_publisher,field_edition,field_language,field_physical_form,field_media_type,field_extent.attr0=page,field_extent.attr0=dimensions,field_extent.attr0=bytes,field_extent.attr0=minutes,field_digital_origin,field_abstract.attr0=description,field_abstract.attr0=abstract,field_note.attr0=preferred-citation,field_note.attr0=capture-device,field_note.attr0=ppi,field_note.attr0=collection,field_note.attr0=box,field_note.attr0=series,field_note.attr0=folder,field_local_restriction,field_subject_lcsh,field_keywords,field_subjects_name,field_geographic_subject.vid=geographic_naf,field_geographic_subject.vid=geographic_local,field_subject_hierarchical_geo,field_related_item.title,field_related_item.identifier_type=issn,field_part_detail.attr0=voume,field_part_detail.attr0=issue,field_part_detail.attr0=page,field_identifier.attr0=doi,field_identifier.attr0=uri,field_identifier.attr0=call-number,field_identifier.attr0=report-number,field_rights,field_access
,900028,900026,002,,,Page,Example-Gazette\Example-Gazette-2001-10\Example-Gazette-2001-10_002.tif,No,[Inside front cover],[Inside front cover],Yes,,,,,,,,,Text,,,,2024-03-01,,,,,,image/tiff,,,,,reformatted digital,,,,Example Scanner A1,300,,,,,,,,,,,,,,,,,,,,,,
,900029,900026,003,,,Page,Example-Gazette\Example-Gazette-2001-10\Example-Gazette-2001-10_003.tif,No,[Page 1],[Page 1],Yes,,,,,,,,,Text,,,,2024-03-01,,,,,,image/tiff,,,,,reformatted digital,,,,Example Scanner A1,300,,,,,,,,,,,,,,,,,,,,,,
,900030,900026,004,,,Page,Example-Gazette\Example-Gazette-2001-10\Example-Gazette-2001-10_004.tif,No,[Page 2],[Page 2],Yes,,,,,,,,,Text,,,,2024-03-01,,,,,,image/tiff,,,,,reformatted digital,,,,Example Scanner A1,300,,,,,,,,,,,,,,,,,,,,,,
,900031,900026,005,,,Page,Example-Gazette\Example-Gazette-2001-10\Example-Gazette-2001-10_005.tif,No,[Page 3],[Page 3],Yes,,,,,,,,,Text,,,,2024-03-01,,,,,,image/tiff,,,,,reformatted digital,,,,Example Scanner A1,300,,,,,,,,,,,,,,,,,,,,,,
,900032,900026,006,,,Page,Example-Gazette\Example-Gazette-2001-10\Example-Gazette-2001-10_006.tif,No,[Page 4],[Page 4],Yes,,,,,,,,,Text,,,,2024-03-01,,,,,,image/tiff,,,,,reformatted digital,,,,Example Scanner A1,300,,,,,,,,,,,,,,,,,,,,,,
,900033,900026,007,,,Page,Example-Gazette\Example-Gazette-2001-10\Example-Gazette-2001-10_007.tif,No,[Page 5],[Page 5],Yes,,,,,,,,,Text,,,,2024-03-01,,,,,,image/tiff,,,,,reformatted digital,,,,Example Scanner A1,300,,,,,,,,,,,,,,,,,,,,,,
,900034,900026,008,,,Page,Example-Gazette\Example-Gazette-2001-10\Example-Gazette-2001-10_008.tif,No,[Page 6],[Page 6],Yes,,,,,,,,,Text,,,,2024-03-01,,,,,,image/tiff,,,,,reformatted digital,,,,Example Scanner A1,300,,,,,,,,,,,,,,,,,,,,,,
,900035,900026,009,,,Page,Example-Gazette\Example-Gazette-2001-10\Example-Gazette-2001-10_009.tif,No,[Page 7],[Page 7],Yes,,,,,,,,,Text,,,,2024-03-01,,,,,,image/tiff,,,,,reformatted digital,,,,Example Scanner A1,300,,,,,,,,,,,,,,,,,,,,,,
,900036,900026,010,,,Page,Example-Gazette\Example-Gazette-2001-10\Example-Gazette-2001-10_010.tif,No,[Page 8],[Page 8],Yes,,,,,,,,,Text,,,,2024-03-01,,,,,,image/tiff,,,,,reformatted digital,,,,Example Scanner A1,300,,,,,,,,,,,,,,,,,,,,,,
,900037,900026,011,,,Page,Example-Gazette\Example-Gazette-2001-10\Example-Gazette-2001-10_011.tif,No,[Page 9],[Page 9],Yes,,,,,,,,,Text,,,,2024-03-01,,,,,,image/tiff,,,,,reformatted digital,,,,Example Scanner A1,300,,,,,,,,,,,,,,,,,,,,,,
,900038,900026,012,,,Page,Example-Gazette\Example-Gazette-2001-10\Example-Gazette-2001-10_012.tif,No,[Page 10],[Page 10],Yes,,,,,,,,,Text,,,,2024-03-01,,,,,,image/tiff,,,,,reformatted digital,,,,Example Scanner A1,300,,,,,,,,,,,,,,,,,,,,,,
,900039,900026,013,,,Page,Example-Gazette\Example-Gazette-2001-10\Example-Gazette-2001-10_013.tif,No,[Page 11],[Page 11],Yes,,,,,,,,,Text,,,,2024-03-01,,,,,,image/tiff,,,,,reformatted digital,,,,Example Scanner A1,300,,,,,,,,,,,,,,,,,,,,,,
,900040,900026,014,,,Page,Example-Gazette\Example-Gazette-2001-10\Example-Gazette-2001-10_014.tif,No,[Page 12],[Page 12],Yes,,,,,,,,,Text,,,,2024-03-01,,,,,,image/tiff,,,,,reformatted digital,,,,Example Scanner A1,300,,,,,,,,,,,,,,,,,,,,,,
,900041,900026,015,,,Page,Example-Gazette\Example-Gazette-2001-10\Example-Gazette-2001-10_015.tif,No,[Page 13],[Page 13],Yes,,,,,,,,,Text,,,,2024-03-01,,,,,,image/tiff,,,,,reformatted digital,,,,Example Scanner A1,300,,,,,,,,,,,,,,,,,,,,,,
,900042,900026,016,,,Page,Example-Gazette\Example-Gazette-2001-10\Example-Gazette-2001-10_016.tif,No,[Page 14],[Page 14],Yes,,,,,,,,,Text,,,,2024-03-01,,,,,,image/tiff,,,,,reformatted digital,,,,Example Scanner A1,300,,,,,,,,,,,,,,,,,,,,,,
,900043,900026,017,,,Page,Example-Gazette\Example-Gazette-2001-10\Example-Gazette-2001-10_017.tif,No,[Page 15],[Page 15],Yes,,,,,,,,,Text,,,,2024-03-01,,,,,,image/tiff,,,,,reformatted digital,,,,Example Scanner A1,300,,,,,,,,,,,,,,,,,,,,,,
,900044,900026,018,,,Page,Example-Gazette\Example-Gazette-2001-10\Example-Gazette-2001-10_018.tif,No,[Page 16],[Page 16],Yes,,,,,,,,,Text,,,,2024-03-01,,,,,,image/tiff,,,,,reformatted digital,,,,Example Scanner A1,300,,,,,,,,,,,,,,,,,,,,,,
,900045,900026,019,,,Page,Example-Gazette\Example-Gazette-2001-10\Example-Gazette-2001-10_019.tif,No,[Page 17],[Page 17],Yes,,,,,,,,,Text,,,,2024-03-01,,,,,,image/tiff,,,,,reformatted digital,,,,Example Scanner A1,300,,,,,,,,,,,,,,,,,,,,,,
,900046,900026,020,,,Page,Example-Gazette\Example-Gazette-2001-10\Example-Gazette-2001-10_020.tif,No,[Page 18],[Page 18],Yes,,,,,,,,,Text,,,,2024-03-01,,,,,,image/tiff,,,,,reformatted digital,,,,Example Scanner A1,300,,,,,,,,,,,,,,,,,,,,,,
,900047,900026,021,,,Page,Example-Gazette\Example-Gazette-2001-10\Example-Gazette-2001-10_021.tif,No,[Page 19],[Page 19],Yes,,,,,,,,,Text,,,,2024-03-01,,,,,,image/tiff,,,,,reformatted digital,,,,Example Scanner A1,300,,,,,,,,,,,,,,,,,,,,,,
,900048,900026,022,,,Page,Example-Gazette\Example-Gazette-2001-10\Example-Gazette-2001-10_022.tif,No,[Page 20],[Page 20],Yes,,,,,,,,,Text,,,,2024-03-01,,,,,,image/tiff,,,,,reformatted digital,,,,Example Scanner A1,300,,,,,,,,,,,,,,,,,,,,,,
,900049,900026,023,,,Page,Example-Gazette\Example-Gazette-2001-10\Example-Gazette-2001-10_023.tif,No,[Inside back cover],[Inside back cover],Yes,,,,,,,,,Text,,,,2024-03-01,,,,,,image/tiff,,,,,reformatted digital,,,,Example Scanner A1,300,,,,,,,,,,,,,,,,,,,,,,
,900050,900026,024,,,Page,Example-Gazette\Example-Gazette-2001-10\Example-Gazette-2001-10_024.tif,No,[Back cover],[Back cover],Yes,,,,,,,,,Text,,,,2024-03-01,,,,,,image/tiff,,,,,reformatted digital,,,,Example Scanner A1,300,,,,,,,,,,,,,,,,,,,,,,
,900051,,,,990000,Paged Content,,No,"Example Gazette (volume 1, no.3)","Example Gazette (volume 1, no.3)",Yes,Example Historical Society,relators:cre|Creator,Corporate Body,,,,,,Text,newsletters,2001-11,,2024-03-01,,Exampleville : Example Historical Society 2001-2002,,English,booklets,image/tiff,24,23 cm.,,,reformatted digital,,,,Example Scanner A1,300,,,,,,Community history. ; Newsletters. ; Periodicals.,,,Exampleville (Imaginary place),,http://vocab.getty.edu/page/tgn/999999999,,,1,3,,,https://catalog.example.invalid/Record/00000000001,TEST G123 V1N3,,NO COPYRIGHT - UNITED STATES,
,900052,900051,001,,,Page,Example-Gazette\Example-Gazette-2001-11\Example-Gazette-2001-11_001.tif,No,[Front cover],[Front cover],Yes,,,,,,,,,Text,,,,2024-03-01,,,,,,image/tiff,,,,,reformatted digital,,,,Example Scanner A1,300,,,,,,,,,,,,,,,,,,,,,,
,900053,900051,002,,,Page,Example-Gazette\Example-Gazette-2001-11\Example-Gazette-2001-11_002.tif,No,[Inside front cover],[Inside front cover],Yes,,,,,,,,,Text,,,,2024-03-01,,,,,,image/tiff,,,,,reformatted digital,,,,Example Scanner A1,300,,,,,,,,,,,,,,,,,,,,,,
,900054,900051,003,,,Page,Example-Gazette\Example-Gazette-2001-11\Example-Gazette-2001-11_003.tif,No,[Page 1],[Page 1],Yes,,,,,,,,,Text,,,,2024-03-01,,,,,,image/tiff,,,,,reformatted digital,,,,Example Scanner A1,300,,,,,,,,,,,,,,,,,,,,,,
,900055,900051,004,,,Page,Example-Gazette\Example-Gazette-2001-11\Example-Gazette-2001-11_004.tif,No,[Page 2],[Page 2],Yes,,,,,,,,,Text,,,,2024-03-01,,,,,,image/tiff,,,,,reformatted digital,,,,Example Scanner A1,300,,,,,,,,,,,,,,,,,,,,,,
,900056,900051,005,,,Page,Example-Gazette\Example-Gazette-2001-11\Example-Gazette-2001-11_005.tif,No,[Page 3],[Page 3],Yes,,,,,,,,,Text,,,,2024-03-01,,,,,,image/tiff,,,,,reformatted digital,,,,Example Scanner A1,300,,,,,,,,,,,,,,,,,,,,,,
,900057,900051,006,,,Page,Example-Gazette\Example-Gazette-2001-11\Example-Gazette-2001-11_006.tif,No,[Page 4],[Page 4],Yes,,,,,,,,,Text,,,,2024-03-01,,,,,,image/tiff,,,,,reformatted digital,,,,Example Scanner A1,300,,,,,,,,,,,,,,,,,,,,,,
,900058,900051,007,,,Page,Example-Gazette\Example-Gazette-2001-11\Example-Gazette-2001-11_007.tif,No,[Page 5],[Page 5],Yes,,,,,,,,,Text,,,,2024-03-01,,,,,,image/tiff,,,,,reformatted digital,,,,Example Scanner A1,300,,,,,,,,,,,,,,,,,,,,,,
,900059,900051,008,,,Page,Example-Gazette\Example-Gazette-2001-11\Example-Gazette-2001-11_008.tif,No,[Page 6],[Page 6],Yes,,,,,,,,,Text,,,,2024-03-01,,,,,,image/tiff,,,,,reformatted digital,,,,Example Scanner A1,300,,,,,,,,,,,,,,,,,,,,,,
,900060,900051,009,,,Page,Example-Gazette\Example-Gazette-2001-11\Example-Gazette-2001-11_009.tif,No,[Page 7],[Page 7],Yes,,,,,,,,,Text,,,,2024-03-01,,,,,,image/tiff,,,,,reformatted digital,,,,Example Scanner A1,300,,,,,,,,,,,,,,,,,,,,,,
,900061,900051,010,,,Page,Example-Gazette\Example-Gazette-2001-11\Example-Gazette-2001-11_010.tif,No,[Page 8],[Page 8],Yes,,,,,,,,,Text,,,,2024-03-01,,,,,,image/tiff,,,,,reformatted digital,,,,Example Scanner A1,300,,,,,,,,,,,,,,,,,,,,,,
,900062,900051,011,,,Page,Example-Gazette\Example-Gazette-2001-11\Example-Gazette-2001-11_011.tif,No,[Page 9],[Page 9],Yes,,,,,,,,,Text,,,,2024-03-01,,,,,,image/tiff,,,,,reformatted digital,,,,Example Scanner A1,300,,,,,,,,,,,,,,,,,,,,,,
,900063,900051,012,,,Page,Example-Gazette\Example-Gazette-2001-11\Example-Gazette-2001-11_012.tif,No,[Page 10],[Page 10],Yes,,,,,,,,,Text,,,,2024-03-01,,,,,,image/tiff,,,,,reformatted digital,,,,Example Scanner A1,300,,,,,,,,,,,,,,,,,,,,,,
,900064,900051,013,,,Page,Example-Gazette\Example-Gazette-2001-11\Example-Gazette-2001-11_013.tif,No,[Page 11],[Page 11],Yes,,,,,,,,,Text,,,,2024-03-01,,,,,,image/tiff,,,,,reformatted digital,,,,Example Scanner A1,300,,,,,,,,,,,,,,,,,,,,,,
,900065,900051,014,,,Page,Example-Gazette\Example-Gazette-2001-11\Example-Gazette-2001-11_014.tif,No,[Page 12],[Page 12],Yes,,,,,,,,,Text,,,,2024-03-01,,,,,,image/tiff,,,,,reformatted digital,,,,Example Scanner A1,300,,,,,,,,,,,,,,,,,,,,,,
,900066,900051,015,,,Page,Example-Gazette\Example-Gazette-2001-11\Example-Gazette-2001-11_015.tif,No,[Page 13],[Page 13],Yes,,,,,,,,,Text,,,,2024-03-01,,,,,,image/tiff,,,,,reformatted digital,,,,Example Scanner A1,300,,,,,,,,,,,,,,,,,,,,,,
,900067,900051,016,,,Page,Example-Gazette\Example-Gazette-2001-11\Example-Gazette-2001-11_016.tif,No,[Page 14],[Page 14],Yes,,,,,,,,,Text,,,,2024-03-01,,,,,,image/tiff,,,,,reformatted digital,,,,Example Scanner A1,300,,,,,,,,,,,,,,,,,,,,,,
,900068,900051,017,,,Page,Example-Gazette\Example-Gazette-2001-11\Example-Gazette-2001-11_017.tif,No,[Page 15],[Page 15],Yes,,,,,,,,,Text,,,,2024-03-01,,,,,,image/tiff,,,,,reformatted digital,,,,Example Scanner A1,300,,,,,,,,,,,,,,,,,,,,,,
,900069,900051,018,,,Page,Example-Gazette\Example-Gazette-2001-11\Example-Gazette-2001-11_018.tif,No,[Page 16],[Page 16],Yes,,,,,,,,,Text,,,,2024-03-01,,,,,,image/tiff,,,,,reformatted digital,,,,Example Scanner A1,300,,,,,,,,,,,,,,,,,,,,,,
,900070,900051,019,,,Page,Example-Gazette\Example-Gazette-2001-11\Example-Gazette-2001-11_019.tif,No,[Page 17],[Page 17],Yes,,,,,,,,,Text,,,,2024-03-01,,,,,,image/tiff,,,,,reformatted digital,,,,Example Scanner A1,300,,,,,,,,,,,,,,,,,,,,,,
,900071,900051,020,,,Page,Example-Gazette\Example-Gazette-2001-11\Example-Gazette-2001-11_020.tif,No,[Page 18],[Page 18],Yes,,,,,,,,,Text,,,,2024-03-01,,,,,,image/tiff,,,,,reformatted digital,,,,Example Scanner A1,300,,,,,,,,,,,,,,,,,,,,,,
,900072,900051,021,,,Page,Example-Gazette\Example-Gazette-2001-11\Example-Gazette-2001-11_021.tif,No,[Page 19],[Page 19],Yes,,,,,,,,,Text,,,,2024-03-01,,,,,,image/tiff,,,,,reformatted digital,,,,Example Scanner A1,300,,,,,,,,,,,,,,,,,,,,,,
,900073,900051,022,,,Page,Example-Gazette\Example-Gazette-2001-11\Example-Gazette-2001-11_022.tif,No,[Page 20],[Page 20],Yes,,,,,,,,,Text,,,,2024-03-01,,,,,,image/tiff,,,,,reformatted digital,,,,Example Scanner A1,300,,,,,,,,,,,,,,,,,,,,,,
,900074,900051,023,,,Page,Example-Gazette\Example-Gazette-2001-11\Example-Gazette-2001-11_023.tif,No,[Inside back cover],[Inside back cover],Yes,,,,,,,,,Text,,,,2024-03-01,,,,,,image/tiff,,,,,reformatted digital,,,,Example Scanner A1,300,,,,,,,,,,,,,,,,,,,,,,
,900075,900051,024,,,Page,Example-Gazette\Example-Gazette-2001-11\Example-Gazette-2001-11_024.tif,No,[Back cover],[Back cover],Yes,,,,,,,,,Text,,,,2024-03-01,,,,,,image/tiff,,,,,reformatted digital,,,,Example Scanner A1,300,,,,,,,,,,,,,,,,,,,,,,
,900076,,,,990000,Paged Content,,No,"Example Gazette (volume 1, no.4)","Example Gazette (volume 1, no.4)",Yes,Example Historical Society,relators:cre|Creator,Corporate Body,,,,,,Text,newsletters,2001-12,,2024-03-01,,Exampleville : Example Historical Society 2001-2002,,English,booklets,image/tiff,32,23 cm.,,,reformatted digital,,,,Example Scanner A1,300,,,,,,Community history. ; Newsletters. ; Periodicals.,,,Exampleville (Imaginary place),,http://vocab.getty.edu/page/tgn/999999999,,,1,4,,,https://catalog.example.invalid/Record/00000000001,TEST G123 V1N4,,NO COPYRIGHT - UNITED STATES,
,900077,900076,001,,,Page,Example-Gazette\Example-Gazette-2001-12\Example-Gazette-2001-12_001.tif,No,[Front cover],[Front cover],Yes,,,,,,,,,Text,,,,2024-03-01,,,,,,image/tiff,,,,,reformatted digital,,,,Example Scanner A1,300,,,,,,,,,,,,,,,,,,,,,,
